"Hospital","patient_count","unique_doctor_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","last_admission_date"
Acevedo PLC,2,2,2,68793.10,34396.56,49.5,9,2019-08-10,2023-04-06
"Acevedo, Jordan and Diaz",1,1,1,23316.70,23316.69,59.0,22,2022-09-21,2022-09-21
"Acevedo, Martin and Price",1,1,1,44587.40,44587.35,47.0,10,2019-07-07,2019-07-07
"Acevedo, Riddle Payne and",1,1,1,22252.00,22252.00,21.0,30,2019-10-30,2019-10-30
Acosta-Barnes,1,1,1,24230.80,24230.82,42.0,25,2023-01-23,2023-01-23
Acosta-Berry,1,1,1,4981.75,4981.75,82.0,19,2023-01-29,2023-01-29
Acosta-Carlson,1,1,1,5321.89,5321.89,78.0,4,2022-06-23,2022-06-23
Acosta-Chambers,1,1,1,4112.21,4112.21,81.0,20,2024-01-17,2024-01-17
Acosta-Clark,1,1,1,29257.70,29257.71,30.0,12,2022-08-22,2022-08-22
Acosta-Davila,1,1,1,10542.00,10541.96,53.0,15,2023-11-01,2023-11-01
Acosta-Dickerson,1,1,1,25091.40,25091.45,56.0,7,2022-01-25,2022-01-25
Acosta-Miller,1,1,1,5783.74,5783.74,80.0,15,2024-01-11,2024-01-11
Acosta-Robertson,1,1,1,37505.60,37505.62,32.0,9,2023-02-24,2023-02-24
Acosta-Smith,1,1,1,4391.13,4391.13,73.0,28,2020-07-21,2020-07-21
Acosta-Taylor,1,1,1,6380.16,6380.16,79.0,10,2019-10-23,2019-10-23
Acosta-Thomas,1,1,1,27692.20,27692.25,37.0,3,2022-03-31,2022-03-31
"Acosta and Tapia Evans,",1,1,1,36093.20,36093.25,49.0,15,2023-10-29,2023-10-29
Acosta Group,3,2,1,118903.00,39634.27,36.3,21,2019-05-20,2021-12-25
Acosta Inc,2,2,2,41772.60,20886.31,54.0,6,2019-05-17,2021-01-31
Acosta LLC,1,1,1,36088.20,36088.22,76.0,12,2020-10-17,2020-10-17
Acosta Ltd,3,3,3,89776.40,29925.45,51.7,21,2019-10-27,2023-08-25
Acosta PLC,1,1,1,9840.05,9840.05,50.0,7,2021-09-04,2021-09-04
Acosta Sons and,1,1,1,5808.69,5808.69,51.0,30,2021-02-23,2021-02-23
"Acosta Trujillo Davis, and",1,1,1,12344.70,12344.73,51.0,22,2019-12-31,2019-12-31
"Acosta Weeks Yates, and",2,1,1,10073.70,5036.83,33.0,2,2020-05-24,2020-05-24
"Acosta Willis, Martin and",1,1,1,24056.80,24056.83,43.0,30,2022-09-01,2022-09-01
"Acosta, and Martin Torres",1,1,1,17566.30,17566.32,46.0,7,2021-10-04,2021-10-04
"Acosta, and Price Jackson",1,1,1,47389.50,47389.47,57.0,2,2021-05-15,2021-05-15
"Acosta, and Young Morrow",1,1,1,1857.48,1857.48,19.0,22,2021-04-11,2021-04-11
"Acosta, Figueroa Compton and",1,1,1,48430.00,48430.01,75.0,9,2020-12-13,2020-12-13
"Acosta, Gordon Smith and",1,1,1,8416.57,8416.57,35.0,24,2023-05-02,2023-05-02
"Acosta, Miller Martin and",1,1,1,30129.30,30129.29,81.0,3,2020-04-30,2020-04-30
"Acosta, Reed and Guzman",1,1,1,23081.70,23081.70,37.0,7,2020-01-05,2020-01-05
Adams-Bailey,1,1,1,33819.20,33819.21,77.0,20,2021-01-24,2021-01-24
Adams-Barnes,1,1,1,32284.60,32284.55,22.0,16,2022-10-08,2022-10-08
Adams-Bass,1,1,1,27850.60,27850.55,72.0,7,2022-06-15,2022-06-15
Adams-Bell,1,1,1,40135.10,40135.06,80.0,25,2023-08-31,2023-08-31
Adams-Bennett,1,1,1,30363.30,30363.33,78.0,20,2019-06-04,2019-06-04
Adams-Benson,1,1,1,12865.90,12865.86,71.0,18,2022-11-30,2022-11-30
Adams-Best,2,1,1,70593.00,35296.48,59.5,8,2023-11-11,2023-11-11
Adams-Black,1,1,1,4974.77,4974.77,80.0,3,2020-07-08,2020-07-08
Adams-Castillo,1,1,1,28520.90,28520.94,34.0,18,2019-07-19,2019-07-19
Adams-Castro,2,1,1,15125.80,7562.90,68.0,22,2020-10-13,2020-10-13
Adams-Chase,1,1,1,12786.10,12786.12,80.0,6,2021-04-03,2021-04-03
Adams-Clark,1,1,1,27604.70,27604.70,42.0,4,2023-05-13,2023-05-13
Adams-Cortez,1,1,1,12814.00,12813.98,61.0,16,2022-08-20,2022-08-20
Adams-Daugherty,1,1,1,21184.30,21184.28,80.0,20,2022-10-08,2022-10-08
Adams-Dean,1,1,1,20445.50,20445.47,33.0,26,2020-02-08,2020-02-08
Adams-Dominguez,1,1,1,36690.10,36690.07,57.0,4,2023-08-02,2023-08-02
Adams-Ferguson,1,1,1,18181.00,18181.04,67.0,13,2022-05-01,2022-05-01
Adams-Flynn,1,1,1,44196.90,44196.91,73.0,3,2023-01-30,2023-01-30
Adams-Gallegos,1,1,1,34085.70,34085.72,33.0,19,2024-04-16,2024-04-16
Adams-Garza,1,1,1,24312.50,24312.49,60.0,24,2019-12-02,2019-12-02
Adams-Gates,1,1,1,41706.40,41706.38,67.0,8,2023-06-09,2023-06-09
Adams-Gomez,1,1,1,27840.80,27840.78,54.0,19,2019-07-11,2019-07-11
Adams-Hale,1,1,1,31203.10,31203.13,56.0,2,2019-08-03,2019-08-03
Adams-Harper,1,1,1,33690.80,33690.76,83.0,4,2023-04-03,2023-04-03
Adams-Harrington,1,1,1,51055.70,51055.71,53.0,21,2021-09-20,2021-09-20
Adams-Harris,1,1,1,28605.60,28605.61,31.0,10,2022-12-12,2022-12-12
Adams-Henry,2,1,1,30845.30,15422.67,71.0,25,2024-03-15,2024-03-15
Adams-Hicks,2,1,1,63607.40,31803.72,27.0,17,2022-04-07,2022-04-07
Adams-Hinton,1,1,1,50687.80,50687.83,59.0,12,2022-08-05,2022-08-05
Adams-Howard,1,1,1,37664.10,37664.09,69.0,19,2023-09-05,2023-09-05
Adams-Jackson,1,1,1,31875.60,31875.57,70.0,22,2022-08-21,2022-08-21
Adams-Johnson,2,2,2,18956.20,9478.11,55.0,1,2019-10-12,2022-12-08
Adams-Kim,2,1,1,92190.00,46094.98,26.0,5,2024-03-25,2024-03-25
Adams-Krause,1,1,1,51144.90,51144.92,40.0,7,2022-09-24,2022-09-24
Adams-Lee,1,1,1,38656.10,38656.08,74.0,27,2022-03-05,2022-03-05
Adams-Marquez,1,1,1,6114.08,6114.08,39.0,27,2021-09-13,2021-09-13
Adams-Martin,2,1,1,82589.40,41294.72,31.5,23,2020-07-27,2020-07-27
Adams-Massey,1,1,1,43088.60,43088.56,61.0,10,2022-08-01,2022-08-01
Adams-Mcclure,1,1,1,10399.80,10399.75,62.0,22,2020-04-12,2020-04-12
Adams-Mcgrath,1,1,1,9478.33,9478.33,32.0,6,2022-05-05,2022-05-05
Adams-Mendoza,1,1,1,38864.60,38864.55,55.0,22,2023-03-13,2023-03-13
Adams-Mitchell,1,1,1,22922.30,22922.30,44.0,18,2019-07-11,2019-07-11
Adams-Molina,1,1,1,21576.50,21576.50,61.0,25,2020-09-08,2020-09-08
Adams-Nash,1,1,1,35345.70,35345.74,79.0,19,2023-08-24,2023-08-24
Adams-Ortega,1,1,1,10558.40,10558.40,41.0,23,2020-05-01,2020-05-01
Adams-Reynolds,1,1,1,31592.30,31592.34,18.0,4,2022-02-04,2022-02-04
Adams-Rice,1,1,1,22000.90,22000.88,44.0,22,2024-02-23,2024-02-23
Adams-Richardson,1,1,1,18445.50,18445.50,49.0,16,2022-12-14,2022-12-14
Adams-Rodriguez,1,1,1,3467.37,3467.37,54.0,13,2022-04-06,2022-04-06
Adams-Salazar,1,1,1,8622.67,8622.67,84.0,15,2020-10-28,2020-10-28
Adams-Savage,1,1,1,29684.00,29683.96,19.0,2,2024-02-15,2024-02-15
Adams-Simmons,2,2,2,51881.40,25940.72,35.0,3,2022-02-24,2024-01-24
Adams-Smith,1,1,1,30151.50,30151.50,78.0,4,2023-05-21,2023-05-21
Adams-Stewart,1,1,1,8471.17,8471.17,74.0,16,2020-01-15,2020-01-15
Adams-Stuart,1,1,1,28118.40,28118.44,64.0,1,2020-10-01,2020-10-01
Adams-Thompson,2,2,2,54166.50,27083.23,30.0,9,2019-07-08,2020-04-09
Adams-Valencia,1,1,1,20264.20,20264.21,28.0,3,2019-10-24,2019-10-24
Adams-Vazquez,1,1,1,33127.00,33126.96,83.0,2,2022-05-17,2022-05-17
Adams-Velasquez,1,1,1,6481.97,6481.97,19.0,30,2020-01-18,2020-01-18
Adams-Velez,1,1,1,31350.40,31350.36,21.0,3,2023-03-12,2023-03-12
Adams-Woods,1,1,1,6929.71,6929.71,35.0,6,2023-02-21,2023-02-21
"Adams and Brown Benson,",1,1,1,14697.30,14697.32,75.0,11,2024-04-23,2024-04-23
"Adams and Campos Cooper,",2,1,1,12344.10,6172.03,32.5,21,2019-07-08,2019-07-08
"Adams and Delgado Newman,",1,1,1,27763.60,27763.57,22.0,16,2021-04-02,2021-04-02
"Adams and Everett Garza,",1,1,1,35702.60,35702.64,42.0,13,2022-05-13,2022-05-13
"Adams and Freeman Oneal,",1,1,1,18654.80,18654.77,71.0,25,2024-04-07,2024-04-07
"Adams and Gonzales, Clark",1,1,1,36086.70,36086.73,30.0,27,2020-05-09,2020-05-09
"Adams and Roberts Armstrong,",1,1,1,4431.90,4431.90,42.0,17,2022-09-26,2022-09-26
"Adams and Smith Olson,",1,1,1,41330.30,41330.29,75.0,30,2021-07-17,2021-07-17
Adams and Sons,3,3,2,114676.00,38225.28,64.7,5,2019-06-28,2023-06-01
"Adams and Thomas Williams,",1,1,1,33730.90,33730.88,32.0,9,2023-11-12,2023-11-12
"Adams and White, Smith",1,1,1,45292.60,45292.62,83.0,5,2022-03-16,2022-03-16
"Adams Baxter, and Peterson",1,1,1,32989.00,32989.04,36.0,16,2022-06-21,2022-06-21
"Adams Bell Adams, and",1,1,1,35275.90,35275.93,75.0,21,2020-01-14,2020-01-14
Adams Group,8,8,4,219433.00,27429.12,59.1,17,2019-07-05,2024-04-04
Adams Inc,2,2,2,80761.90,40380.95,48.5,28,2019-12-10,2024-02-26
"Adams Lawson, and Fleming",1,1,1,15570.50,15570.46,66.0,5,2023-04-16,2023-04-16
Adams LLC,8,7,5,195377.00,24422.18,63.6,16,2020-04-28,2023-02-10
Adams Ltd,5,5,3,72446.10,14489.23,41.2,20,2020-04-20,2023-07-07
"Adams Macias and Arias,",1,1,1,38996.20,38996.20,50.0,7,2019-07-10,2019-07-10
"Adams Marshall, Taylor and",1,1,1,38672.10,38672.11,68.0,4,2019-05-12,2019-05-12
"Adams Morris, and Griffin",1,1,1,31309.30,31309.31,80.0,26,2023-02-02,2023-02-02
"Adams Murphy and Lopez,",1,1,1,20523.10,20523.14,24.0,12,2024-05-05,2024-05-05
"Adams Navarro, Gomez and",1,1,1,44461.80,44461.77,64.0,30,2022-03-06,2022-03-06
"Adams Novak, and James",1,1,1,40543.90,40543.85,61.0,18,2019-06-09,2019-06-09
"Adams Odonnell and Cook,",1,1,1,34444.10,34444.12,43.0,29,2019-05-10,2019-05-10
"Adams Patterson, and Pham",1,1,1,41229.70,41229.73,27.0,9,2020-09-07,2020-09-07
"Adams Patterson, Lawrence and",1,1,1,37038.00,37038.01,81.0,9,2023-06-06,2023-06-06
Adams PLC,2,2,1,52933.60,26466.81,54.0,17,2020-12-22,2023-06-19
"Adams Rivas Duran, and",1,1,1,42637.50,42637.53,71.0,23,2020-06-21,2020-06-21
"Adams Smith Cervantes, and",1,1,1,43564.80,43564.77,28.0,22,2019-09-10,2019-09-10
Adams Sons and,2,2,2,18826.10,9413.02,69.0,2,2020-07-29,2023-01-21
"Adams Torres Nixon, and",1,1,1,16818.60,16818.56,19.0,15,2019-12-25,2019-12-25
"Adams Weaver, and Acosta",2,1,1,60591.50,30295.74,23.5,21,2021-06-08,2021-06-08
"Adams West and Poole,",2,1,1,62947.30,31473.65,22.0,18,2022-07-10,2022-07-10
"Adams Wilson, Newton and",1,1,1,39133.40,39133.44,41.0,15,2023-08-04,2023-08-04
"Adams, and Colon Green",1,1,1,9879.05,9879.05,39.0,2,2020-10-04,2020-10-04
"Adams, and Daniels Rogers",2,1,1,5350.18,2675.09,54.0,2,2020-08-20,2020-08-20
"Adams, and Jackson Greer",1,1,1,37270.30,37270.26,73.0,23,2022-08-08,2022-08-08
"Adams, and Johns Molina",1,1,1,47435.20,47435.22,81.0,15,2022-08-03,2022-08-03
"Adams, and Joseph Williams",1,1,1,48393.50,48393.46,40.0,29,2021-03-15,2021-03-15
"Adams, and Rodriguez Wright",1,1,1,30777.20,30777.23,60.0,7,2022-11-25,2022-11-25
"Adams, Bowers Escobar and",1,1,1,49191.60,49191.65,78.0,26,2022-03-11,2022-03-11
"Adams, Christian and Perry",1,1,1,9867.97,9867.97,46.0,24,2019-05-14,2019-05-14
"Adams, Collins Simmons and",1,1,1,22255.40,22255.45,85.0,27,2024-04-15,2024-04-15
"Adams, Hayes and Gardner",1,1,1,14695.30,14695.31,41.0,22,2023-08-08,2023-08-08
"Adams, Hendricks Collins and",1,1,1,8200.79,8200.79,47.0,21,2023-03-30,2023-03-30
"Adams, Mcgee Brown and",1,1,1,33686.10,33686.05,46.0,8,2022-03-25,2022-03-25
"Adams, Proctor Evans and",1,1,1,26533.20,26533.25,70.0,3,2022-11-10,2022-11-10
"Adams, Randall Powers and",1,1,1,39471.40,39471.35,61.0,23,2019-11-26,2019-11-26
"Adams, Ross Edwards and",1,1,1,35301.10,35301.15,53.0,3,2022-11-13,2022-11-13
Adkins-Avila,2,1,1,46568.40,23284.18,22.5,14,2020-10-21,2020-10-21
Adkins-Black,1,1,1,15876.20,15876.24,23.0,21,2022-02-13,2022-02-13
Adkins-Cantu,1,1,1,38421.20,38421.24,78.0,21,2020-04-13,2020-04-13
Adkins-Carter,1,1,1,15695.40,15695.39,80.0,21,2021-01-26,2021-01-26
Adkins-Cox,2,1,1,57118.30,28559.16,26.5,1,2022-09-24,2022-09-24
Adkins-Gonzalez,1,1,1,48237.40,48237.40,32.0,7,2021-10-17,2021-10-17
Adkins-Griffin,1,1,1,18795.20,18795.19,35.0,3,2023-05-08,2023-05-08
Adkins-Holmes,1,1,1,40338.80,40338.77,82.0,17,2023-06-03,2023-06-03
Adkins-Jackson,2,2,2,38618.10,19309.05,81.5,22,2021-02-24,2023-09-13
Adkins-Martin,1,1,1,20283.40,20283.37,75.0,4,2022-10-06,2022-10-06
Adkins-Scott,1,1,1,3852.41,3852.41,43.0,17,2023-03-12,2023-03-12
Adkins Group,1,1,1,7361.44,7361.44,66.0,1,2020-01-23,2020-01-23
"Adkins Hale Mueller, and",1,1,1,31562.10,31562.08,32.0,15,2022-03-08,2022-03-08
Adkins Inc,2,2,2,55782.50,27891.27,30.0,25,2019-06-24,2021-03-23
"Adkins Knapp and Richards,",1,1,1,3470.76,3470.76,71.0,17,2020-09-16,2020-09-16
Adkins LLC,1,1,1,43841.40,43841.35,44.0,14,2022-12-20,2022-12-20
Adkins PLC,1,1,1,44660.90,44660.89,25.0,4,2023-01-12,2023-01-12
Adkins Sons and,2,2,2,43885.50,21942.77,56.0,12,2021-07-23,2022-08-19
"Adkins Torres Graves, and",1,1,1,41364.00,41364.04,18.0,16,2022-09-13,2022-09-13
"Adkins Wade Simmons, and",2,1,1,84142.10,42071.04,29.5,30,2023-01-18,2023-01-18
"Adkins, and Morrow Russo",1,1,1,41525.90,41525.93,70.0,2,2022-04-14,2022-04-14
"Adkins, Garcia Pratt and",1,1,1,13204.20,13204.25,19.0,27,2020-07-24,2020-07-24
"Adkins, Guerrero and Kelly",1,1,1,2579.01,2579.01,72.0,15,2024-02-05,2024-02-05
"Adkins, Logan and Johnson",1,1,1,13069.80,13069.81,31.0,14,2022-04-22,2022-04-22
Aguilar-Bass,1,1,1,14897.00,14896.98,30.0,3,2019-06-07,2019-06-07
Aguilar-Blake,1,1,1,4661.63,4661.63,85.0,3,2020-10-17,2020-10-17
Aguilar-Conley,1,1,1,38508.60,38508.56,50.0,3,2021-04-21,2021-04-21
Aguilar-Ellison,1,1,1,28219.30,28219.34,80.0,15,2020-07-02,2020-07-02
Aguilar-Freeman,1,1,1,44602.40,44602.39,18.0,14,2020-07-15,2020-07-15
Aguilar-Guzman,1,1,1,37667.00,37666.97,37.0,3,2020-05-07,2020-05-07
Aguilar-Harris,1,1,1,43502.00,43502.03,66.0,23,2024-04-03,2024-04-03
Aguilar-Hill,1,1,1,47819.40,47819.39,66.0,29,2020-03-24,2020-03-24
Aguilar-Howard,1,1,1,24049.30,24049.26,43.0,3,2023-05-06,2023-05-06
Aguilar-Leonard,1,1,1,25065.00,25065.03,85.0,16,2022-05-02,2022-05-02
Aguilar-Lopez,1,1,1,34859.70,34859.71,55.0,24,2020-07-29,2020-07-29
Aguilar-Lowery,1,1,1,44938.50,44938.46,74.0,20,2020-09-07,2020-09-07
Aguilar-Martinez,2,1,1,99470.60,49735.31,78.0,14,2021-06-07,2021-06-07
Aguilar-Moreno,1,1,1,30451.20,30451.24,59.0,16,2023-06-04,2023-06-04
Aguilar-Parsons,2,1,1,44437.10,22218.53,62.5,21,2020-09-30,2020-09-30
Aguilar-Pearson,2,1,1,88375.30,44187.65,60.5,30,2021-06-15,2021-06-15
Aguilar-Scott,1,1,1,24198.40,24198.45,61.0,17,2023-04-22,2023-04-22
Aguilar-Silva,1,1,1,9169.67,9169.67,37.0,17,2019-08-19,2019-08-19
Aguilar-Vega,1,1,1,23651.30,23651.30,34.0,13,2024-01-19,2024-01-19
Aguilar-Waller,1,1,1,28899.30,28899.31,37.0,12,2024-04-24,2024-04-24
"Aguilar Adams, and Morrison",1,1,1,49348.80,49348.81,68.0,29,2021-08-03,2021-08-03
"Aguilar Aguilar Tyler, and",1,1,1,43835.10,43835.12,84.0,11,2020-06-15,2020-06-15
"Aguilar Cardenas and Frederick,",1,1,1,6611.76,6611.76,29.0,28,2019-10-25,2019-10-25
Aguilar Group,1,1,1,37990.30,37990.33,28.0,8,2023-08-08,2023-08-08
"Aguilar Guzman, and Pratt",1,1,1,31250.60,31250.55,65.0,11,2022-10-03,2022-10-03
Aguilar Inc,3,2,2,31755.20,15877.62,56.0,8,2022-10-13,2023-07-02
"Aguilar Kim and Baker,",1,1,1,7904.35,7904.35,73.0,13,2022-12-16,2022-12-16
"Aguilar Klein, Thompson and",1,1,1,2242.77,2242.77,38.0,2,2023-11-27,2023-11-27
"Aguilar Lawson and Joseph,",1,1,1,31374.30,31374.31,24.0,13,2019-10-19,2019-10-19
Aguilar Ltd,4,3,3,140179.00,35044.86,55.5,19,2021-10-01,2022-08-28
"Aguilar Miller, Allen and",1,1,1,35507.90,35507.92,54.0,15,2020-05-14,2020-05-14
"Aguilar Mullins and Schmidt,",1,1,1,27670.90,27670.95,80.0,27,2020-09-16,2020-09-16
Aguilar PLC,2,2,2,86483.00,43241.48,55.0,24,2022-12-23,2024-02-29
Aguilar Sons and,1,1,1,13945.10,13945.10,57.0,5,2020-06-18,2020-06-18
"Aguilar, and Dean Williams",2,1,1,50092.10,25046.04,66.0,23,2022-09-03,2022-09-03
"Aguilar, and Wilson Perez",1,1,1,35263.50,35263.53,42.0,19,2020-07-05,2020-07-05
"Aguilar, Castaneda and Johnson",1,1,1,24132.30,24132.34,82.0,6,2020-04-21,2020-04-21
"Aguilar, Schwartz and Molina",2,1,1,69528.70,34764.37,31.5,7,2022-05-26,2022-05-26
"Aguilar, Spencer Sanders and",1,1,1,13913.00,13913.05,56.0,11,2022-08-04,2022-08-04
Aguirre-Christensen,1,1,1,50702.70,50702.74,65.0,4,2024-02-09,2024-02-09
Aguirre-Davis,2,1,1,29189.90,14594.94,76.5,6,2022-11-19,2022-11-19
Aguirre-Edwards,1,1,1,38846.50,38846.53,70.0,8,2024-03-16,2024-03-16
Aguirre-Graves,1,1,1,9082.93,9082.93,50.0,25,2023-09-03,2023-09-03
Aguirre-Pennington,2,1,1,96854.30,48427.16,25.5,28,2022-01-09,2022-01-09
Aguirre-Perkins,1,1,1,9004.86,9004.86,63.0,20,2019-09-20,2019-09-20
Aguirre-Pugh,1,1,1,50025.50,50025.49,64.0,22,2022-12-15,2022-12-15
Aguirre-Rodriguez,1,1,1,35487.80,35487.84,48.0,24,2022-07-01,2022-07-01
Aguirre-Sims,1,1,1,5367.37,5367.37,85.0,28,2023-08-27,2023-08-27
Aguirre-Wang,2,1,1,94799.20,47399.62,80.0,2,2022-01-18,2022-01-18
Aguirre-Williams,1,1,1,17139.20,17139.19,69.0,3,2023-07-16,2023-07-16
"Aguirre Bell, and Ramsey",1,1,1,23923.30,23923.29,64.0,28,2023-07-27,2023-07-27
Aguirre Group,3,2,2,70572.80,23524.26,61.7,14,2022-03-28,2023-10-23
Aguirre LLC,4,3,2,113423.00,28355.81,59.8,10,2019-11-12,2021-03-08
Aguirre Ltd,3,2,2,109984.00,36661.25,29.7,8,2020-07-03,2024-03-22
"Aguirre Turner, Reed and",1,1,1,17197.10,17197.14,63.0,17,2020-03-06,2020-03-06
Alexander-Austin,2,1,1,32751.60,16375.80,20.0,19,2022-06-24,2022-06-24
Alexander-Bradley,1,1,1,5745.70,5745.70,42.0,16,2022-12-10,2022-12-10
Alexander-Brady,1,1,1,7885.14,7885.14,64.0,15,2023-06-06,2023-06-06
Alexander-Brooks,1,1,1,35969.40,35969.45,23.0,21,2020-03-27,2020-03-27
Alexander-Cantu,1,1,1,3666.84,3666.84,62.0,7,2020-10-04,2020-10-04
Alexander-Duncan,2,1,1,91047.70,45523.87,84.5,2,2023-04-11,2023-04-11
Alexander-Gallagher,1,1,1,42050.70,42050.69,84.0,28,2019-10-15,2019-10-15
Alexander-George,1,1,1,10320.20,10320.16,80.0,20,2023-09-19,2023-09-19
Alexander-Howard,2,2,2,52795.70,26397.86,67.5,17,2019-05-20,2021-12-14
Alexander-Lopez,1,1,1,37859.00,37858.96,74.0,27,2024-02-20,2024-02-20
Alexander-Manning,1,1,1,39849.80,39849.79,79.0,8,2022-08-17,2022-08-17
Alexander-Mcdaniel,1,1,1,14465.10,14465.14,42.0,8,2022-12-19,2022-12-19
Alexander-Middleton,2,1,1,76794.00,38397.02,83.5,26,2019-11-02,2019-11-02
Alexander-Moore,2,2,2,54108.20,27054.11,60.0,21,2023-12-19,2024-02-26
Alexander-Murphy,1,1,1,24562.00,24562.01,80.0,28,2019-06-17,2019-06-17
Alexander-Nichols,1,1,1,14076.60,14076.60,79.0,26,2022-03-22,2022-03-22
Alexander-Oconnor,1,1,1,41150.20,41150.19,76.0,11,2021-01-16,2021-01-16
Alexander-Sanchez,1,1,1,45713.60,45713.64,48.0,16,2022-12-03,2022-12-03
Alexander-Saunders,1,1,1,12646.90,12646.92,84.0,17,2022-09-17,2022-09-17
Alexander-Silva,1,1,1,29527.80,29527.81,81.0,11,2023-08-22,2023-08-22
Alexander-Smith,2,2,2,8329.45,4164.72,33.5,9,2020-10-16,2023-06-03
Alexander-Snyder,1,1,1,26222.80,26222.83,20.0,4,2022-02-07,2022-02-07
Alexander-Soto,1,1,1,6967.80,6967.80,72.0,7,2023-02-16,2023-02-16
Alexander-Stone,2,1,1,41760.70,20880.34,49.0,2,2023-05-08,2023-05-08
Alexander-Villa,1,1,1,6240.27,6240.27,54.0,16,2021-03-25,2021-03-25
Alexander-Walker,1,1,1,50102.70,50102.68,78.0,23,2023-06-03,2023-06-03
Alexander-White,1,1,1,24371.00,24371.01,28.0,9,2020-05-30,2020-05-30
"Alexander and Castillo, Mason",1,1,1,27773.30,27773.27,80.0,23,2021-02-18,2021-02-18
"Alexander and Graham Jennings,",1,1,1,40185.50,40185.48,62.0,3,2020-08-03,2020-08-03
"Alexander and Jensen Andrews,",1,1,1,3730.00,3730.00,31.0,17,2020-12-15,2020-12-15
Alexander Group,4,4,3,107306.00,26826.60,55.5,11,2021-08-19,2022-09-21
"Alexander Hays, and Hernandez",1,1,1,32078.90,32078.95,71.0,15,2022-06-26,2022-06-26
Alexander Inc,2,2,2,44142.20,22071.13,53.5,14,2019-05-17,2021-06-05
Alexander Ltd,1,1,1,48385.90,48385.90,56.0,23,2023-06-04,2023-06-04
"Alexander Martinez, Love and",1,1,1,47267.20,47267.18,42.0,6,2023-12-12,2023-12-12
"Alexander Patton, Lowery and",1,1,1,39252.20,39252.18,44.0,13,2021-09-30,2021-09-30
Alexander PLC,2,2,2,62177.30,31088.65,52.0,25,2020-03-07,2021-10-25
"Alexander Simmons and Martinez,",1,1,1,14648.20,14648.17,42.0,21,2021-02-17,2021-02-17
"Alexander Turner, Stout and",1,1,1,32269.00,32268.98,23.0,8,2019-12-18,2019-12-18
"Alexander Wagner and Hill,",1,1,1,13919.90,13919.86,61.0,11,2023-01-10,2023-01-10
"Alexander Williams and Dixon,",1,1,1,24919.70,24919.65,49.0,29,2020-11-05,2020-11-05
