"admission_year","admission_month","admission_month_number","Admission Type","patient_count","average_age","total_billing_amount","average_billing_amount","average_length_of_stay"
"2020",Jul,"07",Elective,317,51,7802040.00,24612.11,16
"2020",Jul,"07",Emergency,357,52,8799680.00,24648.98,15
"2020",Jul,"07",Urgent,333,51,8392000.00,25201.19,15
"2020",Aug,"08",Elective,340,53,8517100.00,25124.17,15
"2020",Aug,"08",Emergency,336,52,8491830.00,25273.29,15
"2020",Aug,"08",Urgent,338,50,8808400.00,26060.36,16
"2020",Sep,"09",Elective,290,51,7044760.00,24376.34,14
"2020",Sep,"09",Emergency,304,51,7466990.00,24562.48,14
"2020",Sep,"09",Urgent,310,51,7911090.00,25519.63,16
"2020",Oct,"10",Emergency,307,54,7945570.00,25881.35,16
"2020",Oct,"10",Urgent,328,52,7907940.00,24109.57,15
"2020",Oct,"10",Elective,327,51,8250150.00,25229.82,14
"2020",Nov,"11",Urgent,314,50,8170780.00,26104.73,16
"2020",Nov,"11",Emergency,308,51,7415480.00,24076.24,15
"2020",Nov,"11",Elective,282,50,7298150.00,25879.95,16
"2020",Dec,"12",Urgent,270,52,7436780.00,27543.62,15
"2020",Dec,"12",Emergency,325,50,8399800.00,25845.52,16
"2020",Dec,"12",Elective,294,51,7489120.00,25473.21,15
"2021",Jan,"01",Emergency,316,51,7669260.00,24346.86,16
"2021",Jan,"01",Elective,300,52,8088760.00,26962.53,16
"2021",Jan,"01",Urgent,317,53,8047450.00,25547.46,15
"2021",Feb,"02",Elective,306,50,7560170.00,24787.45,15
"2021",Feb,"02",Urgent,260,50,6897120.00,26629.79,15
"2021",Feb,"02",Emergency,271,51,6918500.00,25624.07,16
"2021",Mar,"03",Elective,315,51,8166860.00,25926.54,14
"2021",Mar,"03",Emergency,320,51,8078900.00,25485.48,16
"2021",Mar,"03",Urgent,334,51,8871250.00,26640.39,15
"2021",Apr,"04",Elective,305,51,8154780.00,26736.99,16
"2021",Apr,"04",Emergency,274,53,6671760.00,24528.53,15
"2021",Apr,"04",Urgent,291,52,7607540.00,26232.91,16
"2021",May,"05",Emergency,291,55,7157680.00,24596.82,15
"2021",May,"05",Elective,315,52,7802410.00,24769.56,15
"2021",May,"05",Urgent,297,51,7663030.00,25801.44,16
"2021",Jun,"06",Urgent,313,51,7895930.00,25307.49,15
"2021",Jun,"06",Emergency,318,51,8502370.00,26737.01,17
"2021",Jun,"06",Elective,295,50,7743450.00,26248.99,16
"2021",Jul,"07",Emergency,315,52,8052250.00,25644.11,16
"2021",Jul,"07",Elective,331,52,8667630.00,26186.22,15
"2021",Jul,"07",Urgent,332,51,8525510.00,25679.26,15
"2021",Aug,"08",Elective,324,52,8088620.00,24964.89,16
"2021",Aug,"08",Emergency,282,54,7302020.00,25893.68,16
"2021",Aug,"08",Urgent,288,54,7375870.00,25699.90,16
"2021",Sep,"09",Elective,287,51,7152510.00,25008.78,15
"2021",Sep,"09",Urgent,282,54,7293810.00,25864.59,15
"2021",Sep,"09",Emergency,298,52,7308190.00,24606.71,14
"2021",Oct,"10",Urgent,305,51,8309780.00,27245.18,15
"2021",Oct,"10",Emergency,291,51,7840810.00,27037.27,15
"2021",Oct,"10",Elective,297,51,7676460.00,25846.67,15
"2021",Nov,"11",Emergency,294,52,7584290.00,25796.92,16
"2021",Nov,"11",Urgent,298,51,7304740.00,24512.56,15
"2021",Nov,"11",Elective,316,53,8388620.00,26546.26,16
"2021",Dec,"12",Emergency,299,50,7387020.00,24705.75,16
"2021",Dec,"12",Elective,337,52,8320550.00,24837.44,15
"2021",Dec,"12",Urgent,317,49,8088230.00,25514.92,15
"2022",Jan,"01",Elective,329,52,8399570.00,25608.45,16
"2022",Jan,"01",Urgent,337,53,8638260.00,25632.81,15
"2022",Jan,"01",Emergency,303,56,7696270.00,25400.23,15
"2022",Feb,"02",Emergency,279,50,6958800.00,24941.93,15
"2022",Feb,"02",Elective,236,53,5810830.00,24622.15,15
"2022",Feb,"02",Urgent,262,51,6430440.00,24732.48,15
"2022",Mar,"03",Elective,314,51,8496890.00,27060.15,16
"2022",Mar,"03",Emergency,296,51,7537630.00,25464.97,15
"2022",Mar,"03",Urgent,328,51,8144420.00,24982.88,16
"2022",Apr,"04",Elective,298,51,7520810.00,25237.63,15
"2022",Apr,"04",Emergency,278,52,7020110.00,25343.34,15
"2022",Apr,"04",Urgent,304,54,8025780.00,26487.72,15
"2022",May,"05",Elective,316,55,7906250.00,25019.78,16
"2022",May,"05",Emergency,285,54,7540010.00,26549.32,17
"2022",May,"05",Urgent,291,51,7421270.00,25502.64,15
"2022",Jun,"06",Elective,361,51,8244470.00,22965.10,14
"2022",Jun,"06",Urgent,323,52,8662800.00,26903.10,15
"2022",Jun,"06",Emergency,286,50,7624610.00,26659.49,14
"2022",Jul,"07",Elective,324,52,8152910.00,25241.22,15
"2022",Jul,"07",Emergency,313,52,8257120.00,26380.57,16
"2022",Jul,"07",Urgent,314,52,8202360.00,26122.17,15
"2022",Aug,"08",Elective,313,52,7512960.00,24080.00,16
"2022",Aug,"08",Urgent,320,52,8119270.00,25452.27,15
"2022",Aug,"08",Emergency,322,48,8222820.00,25536.70,15
"2022",Sep,"09",Elective,317,50,7981300.00,25257.28,16
"2022",Sep,"09",Emergency,313,55,8250300.00,26358.78,16
"2022",Sep,"09",Urgent,289,52,7327300.00,25442.01,15
"2022",Oct,"10",Elective,299,50,7867840.00,26313.86,15
"2022",Oct,"10",Emergency,298,50,7630930.00,25607.14,15
"2022",Oct,"10",Urgent,315,52,7857280.00,25183.61,15
"2022",Nov,"11",Emergency,282,50,7039040.00,24961.14,15
"2022",Nov,"11",Urgent,287,52,7571360.00,26566.17,15
"2022",Nov,"11",Elective,327,53,8880870.00,27158.61,15
"2022",Dec,"12",Emergency,299,51,7867480.00,26489.81,16
"2022",Dec,"12",Urgent,333,50,8590160.00,25796.26,16
"2022",Dec,"12",Elective,326,54,7685370.00,23647.31,16
"2023",Jan,"01",Emergency,317,52,8577020.00,27056.86,16
"2023",Jan,"01",Urgent,291,54,7523080.00,25852.52,15
"2023",Jan,"01",Elective,323,52,8081320.00,25175.47,15
"2023",Feb,"02",Elective,275,48,7218350.00,26344.33,16
"2023",Feb,"02",Emergency,296,51,7765150.00,26322.55,15
"2023",Feb,"02",Urgent,309,51,7474980.00,24190.86,16
"2023",Mar,"03",Emergency,325,50,8196180.00,25219.00,16
"2023",Mar,"03",Elective,310,52,7842490.00,25380.21,16
"2023",Mar,"03",Urgent,287,54,6428900.00,22478.67,15
"2023",Apr,"04",Urgent,298,52,7567250.00,25393.43,16
"2023",Apr,"04",Emergency,302,52,7717580.00,25554.90,16
"2023",Apr,"04",Elective,298,50,7630010.00,25690.26,15
"2023",May,"05",Elective,309,50,7836540.00,25360.98,16
"2023",May,"05",Emergency,320,52,7588470.00,23713.97,16
"2023",May,"05",Urgent,298,52,7480410.00,25102.04,15
"2023",Jun,"06",Emergency,310,52,8076470.00,26222.30,15
"2023",Jun,"06",Elective,303,51,8091350.00,26704.12,16
"2023",Jun,"06",Urgent,348,51,8870710.00,25564.02,15
"2023",Jul,"07",Urgent,304,52,7421730.00,24413.58,15
"2023",Jul,"07",Elective,319,53,8131900.00,25491.87,15
"2023",Jul,"07",Emergency,296,49,7580120.00,25608.53,16
"2023",Aug,"08",Urgent,342,50,8748080.00,25579.19,16
"2023",Aug,"08",Elective,320,53,8389780.00,26218.05,16
"2023",Aug,"08",Emergency,306,52,7688870.00,25209.42,15
"2023",Sep,"09",Elective,310,52,8034300.00,25917.10,16
"2023",Sep,"09",Urgent,313,52,8048100.00,25712.75,16
"2023",Sep,"09",Emergency,297,51,7592390.00,25563.60,15
"2023",Oct,"10",Emergency,305,51,8201900.00,26891.49,15
"2023",Oct,"10",Elective,281,50,7562630.00,27009.40,16
"2023",Oct,"10",Urgent,312,52,8264650.00,26489.25,15
"2023",Nov,"11",Elective,270,51,6928470.00,25756.40,16
"2023",Nov,"11",Emergency,306,52,7848770.00,25649.59,15
"2023",Nov,"11",Urgent,305,51,7744990.00,25393.41,16
"2023",Dec,"12",Emergency,308,52,7917580.00,25706.42,15
"2023",Dec,"12",Elective,319,52,8307550.00,26289.71,16
"2023",Dec,"12",Urgent,294,50,7609300.00,26059.26,15
"2024",Jan,"01",Urgent,316,51,7907730.00,25024.45,15
"2024",Jan,"01",Emergency,290,53,7516880.00,25920.28,16
"2024",Jan,"01",Elective,303,52,8012820.00,26444.95,16
"2024",Feb,"02",Urgent,251,50,6215930.00,24863.72,15
"2024",Feb,"02",Emergency,310,50,7732280.00,25104.82,16
"2024",Feb,"02",Elective,319,51,8595280.00,27029.18,16
"2024",Mar,"03",Urgent,331,53,8414820.00,25499.44,16
"2024",Mar,"03",Emergency,289,50,7484380.00,25987.44,16
"2024",Mar,"03",Elective,286,51,6994060.00,24454.74,16
"2024",Apr,"04",Elective,314,51,8034220.00,25668.41,16
"2024",Apr,"04",Urgent,300,53,7279060.00,24263.52,16
"2024",Apr,"04",Emergency,332,53,8203910.00,24785.23,16
"2024",May,"05",Urgent,72,51,2017460.00,28020.34,14
"2024",May,"05",Elective,77,49,1785690.00,23190.79,16
"2024",May,"05",Emergency,64,52,1628140.00,25439.74,15
