"Hospital","Medical Condition","patient_count","average_patient_age","total_billing_amount","average_billing_amount","average_length_of_stay"
Acevedo PLC,Obesity,1,74,18742.70,18742.65,5
"Acevedo, Jordan and Diaz",Hypertension,1,59,23316.70,23316.69,22
"Acevedo, Martin and Price",Arthritis,1,47,44587.40,44587.35,10
"Acevedo, Riddle Payne and",Asthma,1,21,22252.00,22252.00,30
Acosta-Barnes,Asthma,1,42,24230.80,24230.82,25
Acosta-Berry,Diabetes,1,82,4981.75,4981.75,19
Acosta-Carlson,Asthma,1,78,5321.89,5321.89,4
Acosta-Chambers,Asthma,1,81,4112.21,4112.21,20
Acosta-Clark,Cancer,1,30,29257.70,29257.71,12
Acosta-Davila,Hypertension,1,53,10542.00,10541.96,15
Acosta-Dickerson,Arthritis,1,56,25091.40,25091.45,7
Acosta-Miller,Diabetes,1,80,5783.74,5783.74,15
Acosta-Robertson,Diabetes,1,32,37505.60,37505.62,9
Acosta-Smith,Hypertension,1,73,4391.13,4391.13,28
Acosta-Taylor,Arthritis,1,79,6380.16,6380.16,10
Acosta-Thomas,Arthritis,1,37,27692.20,27692.25,3
"Acosta and Tapia Evans,",Arthritis,1,49,36093.20,36093.25,15
Acosta Group,Arthritis,3,36,118903.00,39634.27,21
Acosta Inc,Diabetes,1,46,37086.80,37086.78,5
Acosta Inc,Obesity,1,62,4685.83,4685.83,6
Acosta LLC,Diabetes,1,76,36088.20,36088.22,12
Acosta Ltd,Asthma,1,42,34167.40,34167.45,14
Acosta Ltd,Diabetes,1,54,33496.60,33496.58,29
Acosta Ltd,Hypertension,1,59,22112.30,22112.33,20
Acosta PLC,Asthma,1,50,9840.05,9840.05,7
Acosta Sons and,Obesity,1,51,5808.69,5808.69,30
"Acosta Trujillo Davis, and",Hypertension,1,51,12344.70,12344.73,22
"Acosta Weeks Yates, and",Obesity,2,33,10073.70,5036.83,2
"Acosta Willis, Martin and",Arthritis,1,43,24056.80,24056.83,30
"Acosta, and Martin Torres",Obesity,1,46,17566.30,17566.32,7
"Acosta, and Price Jackson",Diabetes,1,57,47389.50,47389.47,2
"Acosta, and Young Morrow",Hypertension,1,19,1857.48,1857.48,22
"Acosta, Figueroa Compton and",Arthritis,1,75,48430.00,48430.01,9
"Acosta, Gordon Smith and",Hypertension,1,35,8416.57,8416.57,24
"Acosta, Miller Martin and",Diabetes,1,81,30129.30,30129.29,3
"Acosta, Reed and Guzman",Hypertension,1,37,23081.70,23081.70,7
Adams-Bailey,Arthritis,1,77,33819.20,33819.21,20
Adams-Barnes,Diabetes,1,22,32284.60,32284.55,16
Adams-Bass,Obesity,1,72,27850.60,27850.55,7
Adams-Bell,Hypertension,1,80,40135.10,40135.06,25
Adams-Bennett,Arthritis,1,78,30363.30,30363.33,20
Adams-Benson,Arthritis,1,71,12865.90,12865.86,18
Adams-Best,Hypertension,2,60,70593.00,35296.48,8
Adams-Black,Diabetes,1,80,4974.77,4974.77,3
Adams-Castillo,Cancer,1,34,28520.90,28520.94,18
Adams-Castro,Arthritis,2,68,15125.80,7562.90,22
Adams-Chase,Cancer,1,80,12786.10,12786.12,6
Adams-Clark,Arthritis,1,42,27604.70,27604.70,4
Adams-Cortez,Cancer,1,61,12814.00,12813.98,16
Adams-Daugherty,Cancer,1,80,21184.30,21184.28,20
Adams-Dean,Cancer,1,33,20445.50,20445.47,26
Adams-Dominguez,Hypertension,1,57,36690.10,36690.07,4
Adams-Ferguson,Arthritis,1,67,18181.00,18181.04,13
Adams-Flynn,Arthritis,1,73,44196.90,44196.91,3
Adams-Gallegos,Arthritis,1,33,34085.70,34085.72,19
Adams-Garza,Cancer,1,60,24312.50,24312.49,24
Adams-Gates,Cancer,1,67,41706.40,41706.38,8
Adams-Gomez,Asthma,1,54,27840.80,27840.78,19
Adams-Hale,Diabetes,1,56,31203.10,31203.13,2
Adams-Harper,Cancer,1,83,33690.80,33690.76,4
Adams-Harrington,Diabetes,1,53,51055.70,51055.71,21
Adams-Harris,Hypertension,1,31,28605.60,28605.61,10
Adams-Henry,Cancer,2,71,30845.30,15422.67,25
Adams-Hicks,Diabetes,2,27,63607.40,31803.72,17
Adams-Hinton,Hypertension,1,59,50687.80,50687.83,12
Adams-Howard,Obesity,1,69,37664.10,37664.09,19
Adams-Jackson,Diabetes,1,70,31875.60,31875.57,22
Adams-Johnson,Asthma,1,29,4143.56,4143.56,1
Adams-Johnson,Cancer,1,81,14812.70,14812.65,1
Adams-Kim,Hypertension,2,26,92190.00,46094.98,5
Adams-Krause,Asthma,1,40,51144.90,51144.92,7
Adams-Lee,Diabetes,1,74,38656.10,38656.08,27
Adams-Marquez,Diabetes,1,39,6114.08,6114.08,27
Adams-Martin,Hypertension,2,32,82589.40,41294.72,23
Adams-Massey,Diabetes,1,61,43088.60,43088.56,10
Adams-Mcclure,Hypertension,1,62,10399.80,10399.75,22
Adams-Mcgrath,Cancer,1,32,9478.33,9478.33,6
Adams-Mendoza,Hypertension,1,55,38864.60,38864.55,22
Adams-Mitchell,Hypertension,1,44,22922.30,22922.30,18
Adams-Molina,Obesity,1,61,21576.50,21576.50,25
Adams-Nash,Arthritis,1,79,35345.70,35345.74,19
Adams-Ortega,Diabetes,1,41,10558.40,10558.40,23
Adams-Reynolds,Obesity,1,18,31592.30,31592.34,4
Adams-Rice,Asthma,1,44,22000.90,22000.88,22
Adams-Richardson,Hypertension,1,49,18445.50,18445.50,16
Adams-Rodriguez,Cancer,1,54,3467.37,3467.37,13
Adams-Salazar,Obesity,1,84,8622.67,8622.67,15
Adams-Savage,Obesity,1,19,29684.00,29683.96,2
Adams-Simmons,Arthritis,1,52,39988.50,39988.48,1
Adams-Simmons,Diabetes,1,18,11893.00,11892.96,5
Adams-Smith,Arthritis,1,78,30151.50,30151.50,4
Adams-Stewart,Cancer,1,74,8471.17,8471.17,16
Adams-Stuart,Cancer,1,64,28118.40,28118.44,1
Adams-Thompson,Arthritis,1,24,37041.50,37041.51,12
Adams-Thompson,Diabetes,1,36,17124.90,17124.94,5
Adams-Valencia,Obesity,1,28,20264.20,20264.21,3
Adams-Vazquez,Arthritis,1,83,33127.00,33126.96,2
Adams-Velasquez,Arthritis,1,19,6481.97,6481.97,30
Adams-Velez,Diabetes,1,21,31350.40,31350.36,3
Adams-Woods,Arthritis,1,35,6929.71,6929.71,6
"Adams and Brown Benson,",Hypertension,1,75,14697.30,14697.32,11
"Adams and Campos Cooper,",Asthma,2,33,12344.10,6172.03,21
"Adams and Delgado Newman,",Cancer,1,22,27763.60,27763.57,16
"Adams and Everett Garza,",Arthritis,1,42,35702.60,35702.64,13
"Adams and Freeman Oneal,",Asthma,1,71,18654.80,18654.77,25
"Adams and Gonzales, Clark",Diabetes,1,30,36086.70,36086.73,27
"Adams and Roberts Armstrong,",Arthritis,1,42,4431.90,4431.90,17
"Adams and Smith Olson,",Cancer,1,75,41330.30,41330.29,30
Adams and Sons,Asthma,2,65,66957.10,33478.53,6
Adams and Sons,Cancer,1,64,47718.80,47718.78,5
"Adams and Thomas Williams,",Asthma,1,32,33730.90,33730.88,9
"Adams and White, Smith",Cancer,1,83,45292.60,45292.62,5
"Adams Baxter, and Peterson",Obesity,1,36,32989.00,32989.04,16
"Adams Bell Adams, and",Diabetes,1,75,35275.90,35275.93,21
Adams Group,Arthritis,2,55,63515.80,31757.88,24
Adams Group,Cancer,1,74,49820.00,49819.99,20
Adams Group,Diabetes,2,59,41490.40,20745.20,4
Adams Group,Obesity,3,58,64606.80,21535.60,20
Adams Inc,Arthritis,1,37,38878.00,38878.00,27
Adams Inc,Asthma,1,60,41883.90,41883.89,28
"Adams Lawson, and Fleming",Cancer,1,66,15570.50,15570.46,5
Adams LLC,Arthritis,1,48,30623.40,30623.44,14
Adams LLC,Cancer,2,68,36130.00,18064.98,10
Adams LLC,Diabetes,1,20,23655.10,23655.08,6
Adams LLC,Hypertension,3,83,92202.80,30734.26,20
Adams LLC,Obesity,1,57,12766.20,12766.19,30
Adams Ltd,Arthritis,1,41,5576.67,5576.67,2
Adams Ltd,Asthma,1,19,25906.70,25906.65,21
Adams Ltd,Diabetes,3,49,40962.80,13654.27,26
"Adams Macias and Arias,",Hypertension,1,50,38996.20,38996.20,7
"Adams Marshall, Taylor and",Hypertension,1,68,38672.10,38672.11,4
"Adams Morris, and Griffin",Arthritis,1,80,31309.30,31309.31,26
"Adams Murphy and Lopez,",Asthma,1,24,20523.10,20523.14,12
"Adams Navarro, Gomez and",Asthma,1,64,44461.80,44461.77,30
"Adams Novak, and James",Arthritis,1,61,40543.90,40543.85,18
"Adams Odonnell and Cook,",Diabetes,1,43,34444.10,34444.12,29
"Adams Patterson, and Pham",Asthma,1,27,41229.70,41229.73,9
"Adams Patterson, Lawrence and",Asthma,1,81,37038.00,37038.01,9
Adams PLC,Hypertension,2,54,52933.60,26466.81,17
"Adams Rivas Duran, and",Asthma,1,71,42637.50,42637.53,23
"Adams Smith Cervantes, and",Asthma,1,28,43564.80,43564.77,22
Adams Sons and,Asthma,1,61,9928.93,9928.93,1
Adams Sons and,Diabetes,1,77,8897.12,8897.12,3
"Adams Torres Nixon, and",Diabetes,1,19,16818.60,16818.56,15
"Adams Weaver, and Acosta",Diabetes,2,24,60591.50,30295.74,21
"Adams West and Poole,",Diabetes,2,22,62947.30,31473.65,18
"Adams Wilson, Newton and",Arthritis,1,41,39133.40,39133.44,15
"Adams, and Colon Green",Hypertension,1,39,9879.05,9879.05,2
"Adams, and Daniels Rogers",Obesity,2,54,5350.18,2675.09,2
"Adams, and Jackson Greer",Cancer,1,73,37270.30,37270.26,23
"Adams, and Johns Molina",Asthma,1,81,47435.20,47435.22,15
"Adams, and Joseph Williams",Arthritis,1,40,48393.50,48393.46,29
"Adams, and Rodriguez Wright",Hypertension,1,60,30777.20,30777.23,7
"Adams, Bowers Escobar and",Obesity,1,78,49191.60,49191.65,26
"Adams, Christian and Perry",Cancer,1,46,9867.97,9867.97,24
"Adams, Collins Simmons and",Obesity,1,85,22255.40,22255.45,27
"Adams, Hayes and Gardner",Asthma,1,41,14695.30,14695.31,22
"Adams, Hendricks Collins and",Cancer,1,47,8200.79,8200.79,21
"Adams, Mcgee Brown and",Cancer,1,46,33686.10,33686.05,8
"Adams, Proctor Evans and",Obesity,1,70,26533.20,26533.25,3
"Adams, Randall Powers and",Diabetes,1,61,39471.40,39471.35,23
"Adams, Ross Edwards and",Arthritis,1,53,35301.10,35301.15,3
Adkins-Avila,Cancer,2,23,46568.40,23284.18,14
Adkins-Black,Arthritis,1,23,15876.20,15876.24,21
Adkins-Cantu,Asthma,1,78,38421.20,38421.24,21
Adkins-Carter,Asthma,1,80,15695.40,15695.39,21
Adkins-Cox,Asthma,2,27,57118.30,28559.16,1
Adkins-Gonzalez,Obesity,1,32,48237.40,48237.40,7
Adkins-Griffin,Cancer,1,35,18795.20,18795.19,3
Adkins-Holmes,Obesity,1,82,40338.80,40338.77,17
Adkins-Jackson,Arthritis,1,83,30272.60,30272.60,24
Adkins-Jackson,Obesity,1,80,8345.51,8345.51,20
Adkins-Martin,Arthritis,1,75,20283.40,20283.37,4
Adkins-Scott,Cancer,1,43,3852.41,3852.41,17
Adkins Group,Hypertension,1,66,7361.44,7361.44,1
"Adkins Hale Mueller, and",Asthma,1,32,31562.10,31562.08,15
Adkins Inc,Arthritis,1,22,9882.73,9882.73,19
Adkins Inc,Cancer,1,38,45899.80,45899.81,30
"Adkins Knapp and Richards,",Hypertension,1,71,3470.76,3470.76,17
Adkins LLC,Diabetes,1,44,43841.40,43841.35,14
Adkins PLC,Obesity,1,25,44660.90,44660.89,4
Adkins Sons and,Cancer,1,41,15259.00,15259.05,5
Adkins Sons and,Diabetes,1,71,28626.50,28626.48,18
"Adkins Torres Graves, and",Hypertension,1,18,41364.00,41364.04,16
"Adkins Wade Simmons, and",Asthma,2,30,84142.10,42071.04,30
"Adkins, and Morrow Russo",Asthma,1,70,41525.90,41525.93,2
"Adkins, Garcia Pratt and",Diabetes,1,19,13204.20,13204.25,27
"Adkins, Guerrero and Kelly",Arthritis,1,72,2579.01,2579.01,15
"Adkins, Logan and Johnson",Arthritis,1,31,13069.80,13069.81,14
Aguilar-Bass,Arthritis,1,30,14897.00,14896.98,3
Aguilar-Blake,Cancer,1,85,4661.63,4661.63,3
Aguilar-Conley,Obesity,1,50,38508.60,38508.56,3
Aguilar-Ellison,Asthma,1,80,28219.30,28219.34,15
Aguilar-Freeman,Cancer,1,18,44602.40,44602.39,14
Aguilar-Guzman,Diabetes,1,37,37667.00,37666.97,3
Aguilar-Harris,Obesity,1,66,43502.00,43502.03,23
Aguilar-Hill,Diabetes,1,66,47819.40,47819.39,29
Aguilar-Howard,Asthma,1,43,24049.30,24049.26,3
Aguilar-Leonard,Hypertension,1,85,25065.00,25065.03,16
Aguilar-Lopez,Hypertension,1,55,34859.70,34859.71,24
Aguilar-Lowery,Arthritis,1,74,44938.50,44938.46,20
Aguilar-Martinez,Hypertension,2,78,99470.60,49735.31,14
Aguilar-Moreno,Cancer,1,59,30451.20,30451.24,16
Aguilar-Parsons,Asthma,2,63,44437.10,22218.53,21
Aguilar-Pearson,Diabetes,2,61,88375.30,44187.65,30
Aguilar-Scott,Hypertension,1,61,24198.40,24198.45,17
Aguilar-Silva,Hypertension,1,37,9169.67,9169.67,17
Aguilar-Vega,Hypertension,1,34,23651.30,23651.30,13
Aguilar-Waller,Hypertension,1,37,28899.30,28899.31,12
"Aguilar Adams, and Morrison",Diabetes,1,68,49348.80,49348.81,29
"Aguilar Aguilar Tyler, and",Asthma,1,84,43835.10,43835.12,11
"Aguilar Cardenas and Frederick,",Arthritis,1,29,6611.76,6611.76,28
Aguilar Group,Obesity,1,28,37990.30,37990.33,8
"Aguilar Guzman, and Pratt",Obesity,1,65,31250.60,31250.55,11
Aguilar Inc,Cancer,2,42,31755.20,15877.62,5
Aguilar Inc,Obesity,1,84,,,13
"Aguilar Kim and Baker,",Hypertension,1,73,7904.35,7904.35,13
"Aguilar Klein, Thompson and",Arthritis,1,38,2242.77,2242.77,2
"Aguilar Lawson and Joseph,",Obesity,1,24,31374.30,31374.31,13
Aguilar Ltd,Asthma,1,35,24640.20,24640.18,24
Aguilar Ltd,Cancer,1,42,36248.60,36248.60,26
Aguilar Ltd,Obesity,2,73,79290.60,39645.32,12
"Aguilar Miller, Allen and",Arthritis,1,54,35507.90,35507.92,15
"Aguilar Mullins and Schmidt,",Obesity,1,80,27670.90,27670.95,27
Aguilar PLC,Cancer,1,78,51731.70,51731.66,20
Aguilar PLC,Obesity,1,32,34751.30,34751.30,28
Aguilar Sons and,Diabetes,1,57,13945.10,13945.10,5
"Aguilar, and Dean Williams",Asthma,2,66,50092.10,25046.04,23
"Aguilar, and Wilson Perez",Asthma,1,42,35263.50,35263.53,19
"Aguilar, Castaneda and Johnson",Hypertension,1,82,24132.30,24132.34,6
"Aguilar, Schwartz and Molina",Diabetes,2,32,69528.70,34764.37,7
"Aguilar, Spencer Sanders and",Arthritis,1,56,13913.00,13913.05,11
Aguirre-Christensen,Diabetes,1,65,50702.70,50702.74,4
Aguirre-Davis,Hypertension,2,77,29189.90,14594.94,6
Aguirre-Edwards,Diabetes,1,70,38846.50,38846.53,8
Aguirre-Graves,Arthritis,1,50,9082.93,9082.93,25
Aguirre-Pennington,Arthritis,2,26,96854.30,48427.16,28
Aguirre-Perkins,Arthritis,1,63,9004.86,9004.86,20
Aguirre-Pugh,Arthritis,1,64,50025.50,50025.49,22
Aguirre-Rodriguez,Cancer,1,48,35487.80,35487.84,24
Aguirre-Sims,Diabetes,1,85,5367.37,5367.37,28
Aguirre-Wang,Hypertension,2,80,94799.20,47399.62,2
Aguirre-Williams,Asthma,1,69,17139.20,17139.19,3
"Aguirre Bell, and Ramsey",Hypertension,1,64,23923.30,23923.29,28
Aguirre Group,Arthritis,1,72,20490.10,20490.09,7
Aguirre Group,Obesity,2,57,50082.70,25041.35,17
Aguirre LLC,Arthritis,3,59,70134.70,23378.24,5
Aguirre LLC,Hypertension,1,62,43288.50,43288.54,22
Aguirre Ltd,Arthritis,2,36,79765.90,39882.94,9
Aguirre Ltd,Cancer,1,18,30217.90,30217.88,6
"Aguirre Turner, Reed and",Obesity,1,63,17197.10,17197.14,17
Alexander-Austin,Asthma,2,20,32751.60,16375.80,19
Alexander-Bradley,Obesity,1,42,5745.70,5745.70,16
Alexander-Brady,Asthma,1,64,7885.14,7885.14,15
Alexander-Brooks,Cancer,1,23,35969.40,35969.45,21
Alexander-Cantu,Cancer,1,62,3666.84,3666.84,7
Alexander-Duncan,Hypertension,2,85,91047.70,45523.87,2
Alexander-Gallagher,Cancer,1,84,42050.70,42050.69,28
Alexander-George,Hypertension,1,80,10320.20,10320.16,20
Alexander-Howard,Asthma,1,62,11095.50,11095.55,25
Alexander-Howard,Obesity,1,73,41700.20,41700.17,9
Alexander-Lopez,Diabetes,1,74,37859.00,37858.96,27
Alexander-Manning,Cancer,1,79,39849.80,39849.79,8
Alexander-Mcdaniel,Cancer,1,42,14465.10,14465.14,8
Alexander-Middleton,Asthma,2,84,76794.00,38397.02,26
Alexander-Moore,Arthritis,1,51,12065.00,12065.01,30
Alexander-Moore,Hypertension,1,69,42043.20,42043.21,12
Alexander-Murphy,Asthma,1,80,24562.00,24562.01,28
Alexander-Nichols,Asthma,1,79,14076.60,14076.60,26
Alexander-Oconnor,Cancer,1,76,41150.20,41150.19,11
Alexander-Sanchez,Obesity,1,48,45713.60,45713.64,16
Alexander-Saunders,Asthma,1,84,12646.90,12646.92,17
Alexander-Silva,Asthma,1,81,29527.80,29527.81,11
Alexander-Smith,Asthma,1,30,5075.78,5075.78,7
Alexander-Smith,Obesity,1,37,3253.67,3253.67,10
Alexander-Snyder,Arthritis,1,20,26222.80,26222.83,4
Alexander-Soto,Asthma,1,72,6967.80,6967.80,7
Alexander-Stone,Diabetes,2,49,41760.70,20880.34,2
Alexander-Villa,Hypertension,1,54,6240.27,6240.27,16
Alexander-Walker,Cancer,1,78,50102.70,50102.68,23
Alexander-White,Arthritis,1,28,24371.00,24371.01,9
"Alexander and Castillo, Mason",Diabetes,1,80,27773.30,27773.27,23
"Alexander and Graham Jennings,",Obesity,1,62,40185.50,40185.48,3
"Alexander and Jensen Andrews,",Diabetes,1,31,3730.00,3730.00,17
Alexander Group,Arthritis,1,59,34742.40,34742.41,22
Alexander Group,Cancer,2,43,37389.10,18694.55,8
Alexander Group,Diabetes,1,78,35174.90,35174.90,6
"Alexander Hays, and Hernandez",Hypertension,1,71,32078.90,32078.95,15
Alexander Inc,Asthma,1,28,31921.70,31921.73,21
Alexander Inc,Diabetes,1,79,12220.50,12220.52,7
Alexander Ltd,Asthma,1,56,48385.90,48385.90,23
"Alexander Martinez, Love and",Asthma,1,42,47267.20,47267.18,6
"Alexander Patton, Lowery and",Hypertension,1,44,39252.20,39252.18,13
Alexander PLC,Arthritis,1,50,32178.70,32178.74,29
Alexander PLC,Diabetes,1,54,29998.60,29998.55,21
"Alexander Simmons and Martinez,",Asthma,1,42,14648.20,14648.17,21
"Alexander Turner, Stout and",Cancer,1,23,32269.00,32268.98,8
"Alexander Wagner and Hill,",Asthma,1,61,13919.90,13919.86,11
"Alexander Williams and Dixon,",Arthritis,1,49,24919.70,24919.65,29
"Alexander, and Ewing Lopez",Obesity,1,57,17672.30,17672.31,5
"Alexander, and Norris Williams",Hypertension,1,84,46475.60,46475.61,4
"Alexander, Baker Howell and",Asthma,1,27,27182.70,27182.70,28
"Alexander, Morris and Hayes",Hypertension,1,62,33418.30,33418.31,8
"Alexander, Schneider and Wilson",Cancer,1,46,5702.77,5702.77,6
Ali-Adams,Cancer,1,46,48015.60,48015.58,11
Ali-Baird,Obesity,1,44,13937.00,13936.98,5
Ali-Byrd,Obesity,2,51,98768.40,49384.18,27
Ali-Harris,Obesity,1,56,26999.40,26999.38,9
Ali-James,Obesity,1,68,17716.60,17716.57,28
Ali-Marsh,Asthma,2,26,21460.90,10730.44,28
Ali-Warren,Asthma,1,40,37400.30,37400.33,28
"Ali and Chambers, Dawson",Diabetes,1,35,11508.80,11508.82,16
"Ali and Cox Johnson,",Asthma,1,85,40115.20,40115.17,1
Ali and Sons,Arthritis,1,77,3973.15,3973.15,6
"Ali and Vargas Montes,",Asthma,1,47,27852.70,27852.70,10
"Ali Fischer and Howe,",Hypertension,1,67,37643.60,37643.65,13
Ali Group,Arthritis,1,49,19720.00,19720.04,1
Ali PLC,Diabetes,1,79,28903.40,28903.44,29
Ali Sons and,Arthritis,1,64,19008.80,19008.85,5
"Ali, Cooper Gilbert and",Hypertension,1,63,24297.30,24297.27,21
Allen-Allen,Arthritis,1,22,32.63,32.63,16
Allen-Anderson,Obesity,1,68,37852.00,37851.99,6
Allen-Austin,Arthritis,1,75,16253.40,16253.36,6
Allen-Baker,Arthritis,1,26,3183.82,3183.82,21
Allen-Baker,Obesity,1,78,30679.20,30679.20,3
Allen-Bond,Asthma,1,23,4676.29,4676.29,13
Allen-Brown,Arthritis,1,73,10475.40,10475.39,12
Allen-Brown,Asthma,1,76,14081.40,14081.36,12
Allen-Byrd,Asthma,1,48,7980.41,7980.41,21
Allen-Campbell,Diabetes,1,77,47863.00,47863.02,7
Allen-Cherry,Asthma,1,81,11624.30,11624.31,26
Allen-Cooke,Asthma,1,69,9949.01,9949.01,7
Allen-Copeland,Cancer,1,46,11416.30,11416.34,24
Allen-Cowan,Arthritis,1,18,41859.30,41859.31,6
Allen-Crawford,Arthritis,1,49,28065.60,28065.61,26
Allen-Cunningham,Arthritis,1,77,42499.50,42499.47,30
Allen-Davenport,Arthritis,1,28,12473.50,12473.49,29
Allen-Deleon,Diabetes,1,45,19013.70,19013.67,26
Allen-Duran,Asthma,1,78,24712.60,24712.64,20
Allen-Evans,Hypertension,1,77,46853.60,46853.55,2
Allen-Ferguson,Obesity,1,65,9818.96,9818.96,11
Allen-Fisher,Arthritis,1,37,44451.30,44451.34,9
Allen-Fisher,Hypertension,1,75,15310.30,15310.28,3
Allen-Ford,Arthritis,1,20,4478.27,4478.27,16
Allen-Foster,Diabetes,1,22,17311.70,17311.65,4
Allen-French,Diabetes,1,84,30351.10,30351.12,10
Allen-Garcia,Obesity,1,78,34771.40,34771.42,8
Allen-Gomez,Obesity,1,31,47988.10,47988.08,29
Allen-Gray,Hypertension,2,64,100378.00,50189.23,3
Allen-Hall,Cancer,1,62,23713.80,23713.85,14
Allen-Hall,Obesity,1,30,8790.15,8790.15,29
Allen-Hernandez,Obesity,1,48,48761.20,48761.17,23
Allen-Hill,Arthritis,1,46,16731.40,16731.42,7
Allen-Hoffman,Diabetes,1,46,30672.80,30672.80,10
Allen-Holland,Arthritis,2,45,77964.70,38982.35,4
Allen-Horn,Diabetes,1,54,9831.11,9831.11,9
Allen-Horne,Obesity,1,66,32066.20,32066.24,17
Allen-Howell,Cancer,1,75,4346.00,4346.00,30
Allen-James,Cancer,1,32,1831.71,1831.71,25
Allen-Johnson,Asthma,1,52,32615.70,32615.70,6
Allen-Johnson,Diabetes,1,31,20246.00,20246.02,8
Allen-Johnson,Hypertension,2,52,40324.20,20162.11,30
Allen-Jones,Cancer,1,64,29627.90,29627.89,28
Allen-Leon,Obesity,1,55,36258.20,36258.22,28
Allen-Lowery,Hypertension,1,32,43439.30,43439.29,26
Allen-Lynch,Hypertension,1,52,23511.70,23511.67,14
Allen-Marshall,Asthma,1,37,1593.27,1593.27,13
Allen-Mcguire,Asthma,1,40,20855.90,20855.90,4
Allen-Mckee,Diabetes,1,53,1419.36,1419.36,1
Allen-Moore,Obesity,2,30,57360.80,28680.41,15
Allen-Morales,Diabetes,1,18,1144.38,1144.38,27
Allen-Mueller,Obesity,2,27,80780.00,40390.00,11
Allen-Newton,Asthma,1,53,1210.08,1210.08,2
Allen-Nguyen,Obesity,1,80,32923.70,32923.69,7
Allen-Ortiz,Obesity,1,80,12239.50,12239.54,24
Allen-Parrish,Cancer,1,71,23569.40,23569.42,6
Allen-Perez,Cancer,1,27,10965.70,10965.70,1
Allen-Perez,Diabetes,1,26,41780.90,41780.95,11
Allen-Powers,Cancer,1,31,25939.70,25939.74,22
Allen-Price,Arthritis,1,18,41176.10,41176.15,26
Allen-Price,Obesity,1,27,19824.10,19824.14,30
Allen-Ramos,Obesity,1,70,3945.24,3945.24,19
Allen-Rice,Hypertension,1,22,26718.30,26718.27,30
Allen-Rich,Obesity,1,82,39960.50,39960.48,8
Allen-Robertson,Hypertension,1,44,8531.69,8531.69,24
Allen-Rodriguez,Diabetes,1,33,30002.30,30002.31,30
Allen-Russell,Obesity,1,26,745.29,745.29,17
Allen-Sawyer,Asthma,1,51,3468.95,3468.95,23
Allen-Scott,Cancer,1,67,29467.90,29467.88,14
Allen-Scott,Diabetes,1,82,24084.70,24084.67,25
Allen-Smith,Arthritis,1,77,2990.02,2990.02,17
Allen-Smith,Cancer,1,73,4847.82,4847.82,26
Allen-Spence,Diabetes,1,52,46320.10,46320.14,21
Allen-Spencer,Asthma,1,48,10256.50,10256.48,4
Allen-Sullivan,Asthma,1,19,14406.30,14406.33,8
Allen-Taylor,Obesity,1,34,10574.80,10574.76,4
Allen-Torres,Cancer,1,24,36480.60,36480.59,9
Allen-Tucker,Diabetes,1,70,42596.80,42596.80,24
Allen-Tyler,Asthma,1,28,16971.20,16971.18,27
Allen-Wallace,Cancer,1,59,586.55,586.55,6
Allen-Walsh,Cancer,2,74,65573.60,32786.82,16
Allen-Wilson,Cancer,1,79,38052.10,38052.13,23
Allen-Wood,Diabetes,1,69,31488.00,31488.03,20
